App Name,App ID,Genre,Installs
Budget Bytes: Easy Recipes,com.sidechef.sidechef.partner.budgetbytes,フード＆ドリンク,"100,000+"
Buildertrend,com.BuilderTREND.btMobileApp,ビジネス,"100,000+"
Buildo - Construction diary,net.spacive.buildo,ツール,"10,000+"
Bumble — 恋人を見つける＆ネットワークを作る,com.bumble.app,出会い,"50,000,000+"
Busuu: 言語学習 - 外国語を勉強,com.busuu.android.enc,教育,"10,000,000+"
Bybit：仮想通貨の取引、購入、コピートレード、Web3,com.bybit.app,ファイナンス,"10,000,000+"
Bリーグスマホチケット,jp.bleague.ticket,スポーツ,"100,000+"
CCleaner － クリーナー,com.piriform.ccleaner,ツール,"100,000,000+"
CLINICS(クリニクス)　オンライン診療・服薬指導アプリ,life.medley.clinics,医療,"500,000+"
CLIP STUDIO PAINT -プロが愛用-,jp.co.celsys.clipstudiopaint.googleplay,アート＆デザイン,"5,000,000+"
COCORO PET,jp.co.sharp.android.pet.health,ライフスタイル,"1,000+"
COOKmate - レシピオーガナイザー,fr.cookbook,フード＆ドリンク,"1,000,000+"
CSR Racing,com.naturalmotion.csrracing,レース,"50,000,000+"
CSR Racing 2-リアルタイム‧ドラッグレース,com.naturalmotion.customstreetracer2,レース,"50,000,000+"
Cafe Dash：クッキング、食堂ゲーム,com.friedeggames.cafe,ミニゲーム,"100,000+"
Cahoカレンダー　かわいいスケジュール帳カレンダー,dev.hal_apps.calendar.caho,仕事効率化,"10,000+"
Cake公式アプリ - 英語＆韓国語学習,me.mycake,教育,"100,000,000+"
Call of Duty Mobile シーズン 5,com.activision.callofduty.shooter,アクション,"100,000,000+"
Calling Me - 楽しいビデオチャット,com.callingme.chat,ソーシャルネットワーク,"1,000,000+"
Calm –– 瞑想、睡眠、リラクゼーション,com.calm.android,健康＆フィットネス,"50,000,000+"
Cameringo Lite フォトフィルターカメラ,com.perracolabs.cpd,写真,"10,000,000+"
Canva - デザイン作成＆動画編集＆写真加工,com.canva.editor,アート＆デザイン,"100,000,000+"
CapCut - 動画編集アプリ,com.lemon.lvoverseas,動画プレーヤー＆エディタ,"500,000,000+"
Car Eats Car 2 - Racing Game,com.spilgames.CarEatsCar2,レース,"1,000,000+"
CarXハイウェイレーシング,com.CarXTech.highWay,レース,"50,000,000+"
Cardboard,com.google.samples.apps.cardboarddemo,ライブラリ＆デモ,"10,000,000+"
Carrier Landings Pro,it.rortos.f18carrierlandingiipro,シミュレーション,"10,000+"
Castbox – 素晴らしいPodcastのためのアプリ,fm.castbox.audiobook.radio.podcast,音楽＆オーディオ,"10,000,000+"
Catan Classic,com.exozet.android.catan,ボード,"500,000+"
Catan Universe,com.usm.catanuniverse,ボード,"1,000,000+"
Catch It English - 英語学習、語彙、英会話,com.nxc.catchitenglishbasic.google,教育,"1,000,000+"
Caviar - Order Food Delivery,com.trycaviar.customer,フード＆ドリンク,"1,000,000+"
"Centr, by Chris Hemsworth",com.centr.app,健康＆フィットネス,"1,000,000+"
Chaldal: Online Grocery,com.chaldal.poached,ショッピング,"1,000,000+"
Chatspin  - ランダムなビデオチャット,com.Chatspin,ソーシャルネットワーク,"5,000,000+"
Chatwork - 仕事効率化に使えるビジネスチャット,jp.ecstudio.chatworkandroid,仕事効率化,"1,000,000+"
Chefkoch - Rezepte & Kochen,de.pixelhouse,フード＆ドリンク,"5,000,000+"
Chopra: Meditation & Wellbeing,com.chopra.app,健康＆フィットネス,"50,000+"
Chrome リモート デスクトップ,com.google.chromeremotedesktop,ツール,"10,000,000+"
Circuit Jam,com.circuitjam,教育,"500,000+"
Circuit Route Planner,com.underwood.route_optimiser,地図＆ナビ,"5,000,000+"
CityMix Solitaire TriPeaks,com.kingbirdgames.solitaire,カード,"50,000+"
ClassDojo: 学校と自宅をつなげる!,com.classdojo.android,教育,"10,000,000+"
Clean Life,com.tpgame.cleanlife,ミニゲーム,"1,000,000+"
Cleaning Robots,jp.co.dokidoki.CleaningRobots,アクション,"1,000+"
Click & Grow Official,com.clickandgrow.activation,教育,"10,000+"
CloudEdge,com.cloudedge.smarteye,ライフスタイル,"1,000,000+"
Cluedo：Hasbro ミステリーゲーム,com.marmalade.cluedogame,ボード,"500,000+"
Cocktail Flow - Drink Recipes,hu.distinction.cflow,フード＆ドリンク,"1,000,000+"
CocoPPa Play かわいくきがえてファッションショー,com.unitedfun.prod.apollo,ミニゲーム,"5,000,000+"
Code Karts - 3歳からのコード作成を学ぶ,com.edokiacademy.babycoding,教育,"100,000+"
Coding X : プログラミングを学ぶ,codingx.coding.programming.learn.learntocode.code.java.python.program.delevopment.it.apps.dev,教育,"100,000+"
ColorColor: Step by Step,drawing.lessons.sketch.how.to.draw.portrait,ライフスタイル,"10,000,000+"
ColorNote カラーノート メモ帳 ノート 付箋,com.socialnmobile.dictapps.notepad.color.note,仕事効率化,"100,000,000+"
"ComicScreen - 漫画, PDFビューア",com.viewer.comicscreen,マンガ,"1,000,000+"
Confluence Cloud,com.atlassian.android.confluence.core,仕事効率化,"500,000+"
Cookie Jam Blast™: マッチ3パズルゲーム,air.com.sgn.cookiejamblast.gp,パズル,"10,000,000+"
Cornershop by Uber,com.cornershopapp.android,ショッピング,"5,000,000+"
Coursera: Learn career skills,org.coursera.android,教育,"10,000,000+"
Craft The World (クラフト ザ ワールド),com.dekovir.CraftTheWorld,シミュレーション,"10,000+"
Craft Warriors (クラフトウォリアーズ),jp.co.translimit.castle,シミュレーション,"5,000,000+"
Craft World - Master Block 3D,com.build.vip.realm.city,シミュレーション,"50,000,000+"
Crafting and Building,com.mmircil.cnb2,アドベンチャー,"50,000,000+"
Crestron Home,com.crestron.phoenix.app,住まい＆インテリア,"10,000+"
Cross The Ages：TCG,com.crosstheages.tcg,カード,"10,000+"
CrowdWorks 仕事探しアプリ,jp.co.crowdworks.androidapp,ビジネス,"500,000+"
Currents,com.google.android.apps.plus,ソーシャルネットワーク,"1,000,000,000+"
Cymath  - 数学問題ソルバー,com.cymath.cymath,教育,"5,000,000+"
DAZN (ダゾーン) スポーツをライブ中継,com.dazn,スポーツ,"10,000,000+"
DCOLLECTION 30代からのメンズファッション通販,com.appcapsule.draft,ショッピング,"100,000+"
DELISH KITCHEN-レシピ動画で料理を楽しく簡単に,tv.every.delishkitchen,フード＆ドリンク,"5,000,000+"
"DIY - Hang Out, Create, Share",com.diy.prod,教育,"10,000+"
DIY Keyboard,com.qidafcl.sl054,シミュレーション,"10,000,000+"
DIY Mini Journals,com.jlahhw.sl096,シミュレーション,"5,000,000+"
DIY Resin Jewelry,com.maysalward.DIYResinJewelry,ミニゲーム,"50,000+"
DIY Suncatcher,com.maysalward.SunCatcher3D,ミニゲーム,"10,000+"
DIY ツール ～便利なツールボックス～,jp.co.nsw.diytool,ツール,"50,000+"
DIY ファッションスター,com.cocoplay.diy.fashion,ロールプレイング,"10,000,000+"
DJ ミュージック ミキサー - DJ ミックス スタジオ,dj.music.mixer.sound.effects,音楽＆オーディオ,"1,000,000+"
DMM TV アニメ・エンタメ見放題,com.dmm.premium,エンタメ,"100,000+"
DMM TV｜アニメ・エンタメ見放題、コスパ最強,com.dmm.app.androidtv,エンタメ,"100,000+"
DMMブックス電子書籍リーダー,com.dmm.app.dmmbooks_google_play,書籍＆参考書,"1,000,000+"
DOOR NTTグループのバーチャルイベントアプリ,com.ntt.ncvep.door,エンタメ,"10,000+"
DailyArt - あなたの毎日を芸術の欠片で潤そう！,com.moiseum.dailyart2,教育,"1,000,000+"
Dashlane パスワードマネージャー,com.dashlane,仕事効率化,"5,000,000+"
"Decathlon Coach - fitness, run",com.geonaute.geonaute,健康＆フィットネス,"5,000,000+"
Degoo: 20 GBクラウドストレージ,com.degoo.android,仕事効率化,"10,000,000+"
Deliveroo: Food Delivery UK,com.deliveroo.orderapp,フード＆ドリンク,"10,000,000+"
Design Blast - ホームデザインゲーム,com.bigcool.puzzle.designblast,パズル,"500,000+"
Design Masters,com.playgendary.homes,ミニゲーム,"5,000,000+"
Design My Room,com.langqi.myshoppingmall,シミュレーション,"1,000,000+"
DesignVille：マージ&デザイン,com.tapclap.designville.merge,パズル,"1,000,000+"
Desmosグラフ計算機,com.desmos.calculator,教育,"5,000,000+"
Desygner：グラフィックデザインを作成＆編集,com.delgeo.desygner,アート＆デザイン,"5,000,000+"
Detecht - Motorcycle App & GPS,se.app.detecht,地図＆ナビ,"100,000+"
DiDi Food（ディディフード）- デリバリーアプリ,com.xiaojukeji.didi.global.customer,フード＆ドリンク,"10,000,000+"
DigiCal 日本カレンダースケジュール,com.digibites.calendar,仕事効率化,"5,000,000+"
DigiCal+ 日本カレンダースケジュール,com.digibites.calendarplus,仕事効率化,"100,000+"
Dino - Meet New Friends,com.dinoapp.chat,エンタメ,"50,000+"
DirectCloud　法人向けクラウドストレージ,com.jiran.directbox,仕事効率化,"10,000+"
Discord - 話そう、チャットしよう、集まろう,com.discord,通信,"100,000,000+"
Disney+,com.disney.disneyplus,エンタメ,"100,000,000+"
Dlf Audiothek,de.deutschlandfunk.dlfaudiothek,音楽＆オーディオ,"500,000+"
DocuBay - Watch Documentaries,com.epic.docubay,エンタメ,"1,000,000+"
DokiDoki Live-ライブ配信楽しもう,net.imusic.android.dokidoki,ソーシャルネットワーク,"1,000,000+"
DoorDash（ドアダッシュ） - フードデリバリー、出前,com.dd.doordash,フード＆ドリンク,"50,000,000+"
Dooray! - オールインワンコラボレーションツール,com.dooray.all,ビジネス,"50,000+"
Draw.ai: プレイ＆ドロー！,com.draw.ai.learn.to.draw,教育,"5,000,000+"
DrawNote - 描画メモ帳、ノート、お絵かき、手書き,com.dragonnest.drawnote,仕事効率化,"100,000+"
Drift Max Pro - ドリフト ゲーム,com.tiramisu.driftmax2,レース,"50,000,000+"
Drive Onで給油をお得に！（旧：Shell Pass）,jp.showa_shell_dmp.shellpass,ライフスタイル,"1,000,000+"
Dropbox ファイル、写真&ビデオ為にクラウド ドライブ,com.dropbox.android,仕事効率化,"1,000,000,000+"
Drops | 英 語 ゲーム -韓国語、中国語、外国語勉強,com.languagedrops.drops.international,教育,"5,000,000+"
Duolingoで英語学習,com.duolingo,教育,"100,000,000+"
Dynamics 365 Business Central,com.microsoft.dynamics.ProjectMadeira,ビジネス,"100,000+"
ECOVACS HOME,com.eco.global.app,ライフスタイル,"1,000,000+"
ELSA Speak: AIを活用した英語学習アプリ,us.nobarriers.elsa,教育,"10,000,000+"
ELST（英語Listening＆Speaking対策）,jp.co.sinewave.elst,教育,"10,000+"
EPARKアプリ-人気店の予約＆通販,jp.epark.res,ライフスタイル,"1,000,000+"
EPIK エピック - AI 写真編集,com.snowcorp.epik,写真,"50,000,000+"
ESET Mobile Security Antivirus,com.eset.ems2.gp,ツール,"10,000,000+"
ESET Smart TV Security,com.eset.etvs.gp,仕事効率化,"100,000+"
ESPN,com.espn.score_center,スポーツ,"50,000,000+"
EVENTIM DE: Tickets für Events,de.eventim.mobile.app.Android,イベント,"1,000,000+"
EWA English: 英語の学習,com.ewa.ewaapp,教育,"10,000,000+"
EZVIZ,com.ezviz,動画プレーヤー＆エディタ,"10,000,000+"
EasyNotes:メモ 帳、メモアプリ、ノート、メモ、めも,easynotes.notes.notepad.notebook.privatenotes.note,仕事効率化,"10,000,000+"
EasyShare,com.vivo.easyshare,ツール,"500,000,000+"
Eclipse Guide - 日食そして月食 2021,com.vitotechnology.Eclipse,書籍＆参考書,"100,000+"
Economist,com.economist.lamarr,ニュース＆雑誌,"1,000,000+"
Eight - 名刺管理に転職に キャリアプロフィール,net.eightcard,ビジネス,"1,000,000+"
Endel(エンデル) - 癒しのための音楽アプリ,com.endel.endel,健康＆フィットネス,"500,000+"
English Times - リーディングウィークリー,com.hellotalk.englishtimes,教育,"10,000+"
Epic: Kids' Books & Reading,com.getepic.Epic,教育,"10,000,000+"
Erby  - 母乳、子供を食べさせる＆成長トラッカー,com.whisperarts.erby,出産＆育児,"100,000+"
Eternium,com.makingfun.mageandminions,ロールプレイング,"10,000,000+"
Eventbrite – Discover events,com.eventbrite.attendee,エンタメ,"10,000,000+"
Everdell,com.direwolfdigital.everdell,ボード,"10,000+"
Evernote - 情報整理ノート,com.evernote,仕事効率化,"100,000,000+"
EveryCircuit,com.everycircuit.free,教育,"1,000,000+"
Evil Lands: Online Action RPG,com.ragequitgames.evillands,ロールプレイング,"10,000,000+"
Evolution Board Game,com.northstargames.evolutiongame,ボード,"100,000+"
ExpressVPN - 信頼＆安全の高速VPN接続,com.expressvpn.vpn,ツール,"50,000,000+"
E・レシピ　料理のプロが献立レシピを毎日提案,jp.co.excite.woman.erecipe,フード＆ドリンク,"100,000+"
F1 Mobile Racing,com.codemasters.F1Mobile,レース,"10,000,000+"
FAZ.NET - Nachrichten,net.faz.FAZ,ニュース＆雑誌,"500,000+"
FITE,com.flipps.fitetv,スポーツ,"1,000,000+"
FLO Recharge Électrique,com.addenergie.reseauver,地図＆ナビ,"100,000+"
FODマガジン,jp.co.fujitv.fodmagazine,ニュース＆雑誌,"50,000+"
FOOD FANTASY フードファンタジー,com.foodfantasy.jp,ロールプレイング,"100,000+"
Facebook,com.facebook.katana,ソーシャルネットワーク,"5,000,000,000+"
Facebook Lite,com.facebook.lite,ソーシャルネットワーク,"1,000,000,000+"
"FairEmail, privacy aware email",eu.faircode.email,通信,"500,000+"
Fake GPS,com.blogspot.newapphorizons.fakegps,ツール,"10,000,000+"
Fake GPS location,com.lexa.fakegps,ツール,"10,000,000+"
Family Calendar - FamCal,com.appxy.famcal,仕事効率化,"1,000,000+"
FamilyWall - ファミリー・オーガナイザー,com.familywall,ライフスタイル,"1,000,000+"
Famm：子供の写真プリント・家族共有アルバム作成,com.timersinc.tfam,出産＆育児,"100,000+"
Fancy Battery — 清掃、安全,fancyclean.antivirus.boost.applock,ツール,"10,000,000+"
Farlight 84,com.miraclegames.farlight84,アクション,"10,000,000+"
Fashion & Beauty Makeup Artist,com.games2win.internationalmakeupartist,ロールプレイング,"1,000,000+"
Fashion Cup – ドレスアップ＆バトル,air.com.gamegos.mobile.fashcup,ミニゲーム,"1,000,000+"
Fashion Famous - 着せ替えゲーム,com.shortcut.makethecombine,ロールプレイング,"5,000,000+"
Fate/Grand Order,com.aniplex.fategrandorder,ロールプレイング,"5,000,000+"
Fazilet Takvimi: Namaz Vakti,com.fazilettakvimi.fazilettakvimi,ライフスタイル,"500,000+"
Field Service,com.salesforce.fieldservice.app,仕事効率化,"100,000+"
Figma – プロトタイプのミラーリングによる共有,com.figma.mirror,アート＆デザイン,"1,000,000+"
File Commanderマネージャーと保管庫,com.mobisystems.fileman,ビジネス,"100,000,000+"
Filemail - Send Large Files,no.degree.filemail.app,仕事効率化,"1,000,000+"
Files by Google,com.google.android.apps.nbu.files,ツール,"1,000,000,000+"
Filmarks（フィルマークス）,in.tsumiki.filmarks,エンタメ,"100,000+"
Filmora - 動画編集：動画作成、動画加工、歌詞動画,com.wondershare.filmorago,動画プレーヤー＆エディタ,"50,000,000+"
Finalcad One,com.finalcad.one,仕事効率化,"50,000+"
Fishbowl: Professional Network,com.fishbowlmedia.fishbowl,ビジネス,"1,000,000+"
FitCoach: パーソナルフィットネス,net.workout.lose.weight.fitness.fit.coach,健康＆フィットネス,"10,000,000+"
FitOn Workouts & Fitness Plans,com.fiton.android,健康＆フィットネス,"5,000,000+"
Fitify Yoga,com.fitifyworkouts.yoga,健康＆フィットネス,"100,000+"
Fitify:全身運動 & フィットネスプラン,com.fitifyworkouts.bodyweight.workoutapp,健康＆フィットネス,"10,000,000+"
Fitness & Bodybuilding,softin.my.fast.fitness,健康＆フィットネス,"10,000,000+"
Fleet Battle - Sea Battle,de.smuttlewerk.fleetbattle,ボード,"10,000,000+"
Flight Simulator 2018 FlyWings,com.thetisgames.googleplay.flywings2018flightsimulator,シミュレーション,"1,000,000+"
Flight Status Tracker Lite,com.flight.tracker.flight.radar.live,地図＆ナビ,"100,000+"
FlightAware 航空便追跡,com.flightaware.android.liveFlightTracker,旅行＆地域,"10,000,000+"
Flightradar24 フライトトラッカー,com.flightradar24free,旅行＆地域,"50,000,000+"
Flights,net.aviascanner.aviascanner,旅行＆地域,"1,000,000+"
FlipaClip: 2Dアニメーションを作ろう,com.vblast.flipaclip,アート＆デザイン,"10,000,000+"
Flipboard,flipboard.app,ニュース＆雑誌,"500,000,000+"
Floof - マイペットハウス,com.tutotoons.app.floofmypethouse,教育,"10,000,000+"
Flo（フロー）月経管理アプリ。排卵日予測や体調管理に。,org.iggymedia.periodtracker,健康＆フィットネス,"100,000,000+"
Fluenday- 英語学習アプリ 映画を見ながら英語を勉強,com.enpal,教育,"500,000+"
Fluvsies - もふもふ、ふわふわ、かわいい,com.tutotoons.app.fluvsies.free,教育,"50,000,000+"
Fluvsies Pocket World,com.tutotoons.app.fluvsiespocketworld,教育,"10,000,000+"
Focus To-Do: ポモドーロ技術 & タスク管理,com.superelement.pomodoro,仕事効率化,"5,000,000+"
Foodie フーディー - 毎日を彩るカメラ,com.linecorp.foodcam.android,写真,"10,000,000+"
Formulia,m4.enginary,教育,"1,000,000+"
FotMob - サッカーのライブスコア,com.mobilefootie.wc2010,スポーツ,"10,000,000+"
Fotor写真加工アプリ & 画像編集、画像加工、コラージュ,com.everimaging.photoeffectstudio,写真,"10,000,000+"
Free Fire: 6th Anniversary,com.dts.freefireth,アクション,"1,000,000,000+"
Freeletics: Fitness Workouts,com.freeletics.lite,健康＆フィットネス,"10,000,000+"
Fulldive VR - Virtual Reality,in.fulldive.shell,エンタメ,"10,000,000+"
GALATEA: Novels & Audiobooks,com.colt,書籍＆参考書,"1,000,000+"
GANMA!（ガンマ）,com.COMICSMART.GANMA,マンガ,"5,000,000+"
GLADD｜ファッション通販｜注目ブランド期間限定セール,jp.gladd.gladd,ショッピング,"100,000+"
GLICODE®（グリコード）,jp.glico.cp.GLICODE,教育,"50,000+"
GPS Navigation (Wear OS),com.somyac.watch.gpsnavigation,地図＆ナビ,"10,000+"
GPS Status & Toolbox,com.eclipsim.gpsstatus2,旅行＆地域,"10,000,000+"
GPS Test,com.chartcross.gpstest,ツール,"10,000,000+"
GPS Tools® - オールインワンGPSパック,com.VirtualMaze.gpsutils,ツール,"5,000,000+"
GPSTest,com.android.gpstest,ツール,"500,000+"
GPS位置情報保存,com.rayo.savecurrentlocation,地図＆ナビ,"1,000,000+"
GRAVITY(グラビティ) : 癒されるやさしいSNS,anonymous.sns.community.gravity,ソーシャルネットワーク,"500,000+"
GRID® Autosport,com.feralinteractive.gridas,レース,"100,000+"
GRL(グレイル) レディースファッション通販,bz.grail,ショッピング,"100,000+"
GTレーシング2：実車ゲーム,com.gameloft.android.ANMP.GloftRAHM,レース,"10,000,000+"
Galaxy Eメール,com.samsung.android.email.provider,仕事効率化,"1,000,000,000+"
Gallery – 数字で色塗り＆ホームデコレーションゲーム,com.beresnevgames.gallerycoloringbook,パズル,"10,000,000+"
GameChanger,com.gc.teammanager,スポーツ,"1,000,000+"
Gardenize: Garden & Plant Care,com.htec.gardenize,住まい＆インテリア,"100,000+"
Garmin Golf,com.garmin.android.apps.golf,スポーツ,"1,000,000+"
Gauthmath - AI Homework Helper,com.education.android.h.intelligence,教育,"10,000,000+"
Gaze ビデオチャット ・ランダムチャット・暇つぶし,video.chat.gaze,ライフスタイル,"1,000,000+"
Gear.Club - True Racing,com.edengames.GTSpirit,レース,"10,000,000+"
Geo Tracker - GPS tracker,com.ilyabogdanovich.geotracker,旅行＆地域,"5,000,000+"
GeoGebra 幾何,org.geogebra.android.geometry,教育,"1,000,000+"
GeoGebra 関数グラフ,org.geogebra.android,教育,"10,000,000+"
Geonection:家族向けの位置情報追跡アプリ,com.wondershare.geonection,ライフスタイル,"500,000+"
Gizmo VRプレイヤー:360バーチャルリアリティビデオ,com.GizmoVR.Virtual.Reality.Videos,動画プレーヤー＆エディタ,"1,000,000+"
Glassdoor | Jobs & Community,com.glassdoor.app,ビジネス,"10,000,000+"
GlobaLive - オンラインビデオチャット,globa.live.video.chat,エンタメ,"1,000,000+"
Glovo: Food Delivery and More,com.glovo,ライフスタイル,"50,000,000+"
Glympse - ロケーションを共有しよう,com.glympse.android.glympse,ソーシャルネットワーク,"5,000,000+"
Gmail,com.google.android.gm,通信,"10,000,000,000+"
Gmail Go,com.google.android.gm.lite,通信,"500,000,000+"
Goldie: Scheduling app,com.appointfix,仕事効率化,"500,000+"
GolfNow: Golf Tee Times,com.golfnow.android.teetimes,スポーツ,"1,000,000+"
GoodFM: オーディオブック、ポッドキャスト,com.newreading.goodfm,音楽＆オーディオ,"100,000+"
"GoodNovel - Web Novel, Fiction",com.read.goodnovel,書籍＆参考書,"10,000,000+"
Goodreads,com.goodreads,書籍＆参考書,"10,000,000+"
Google Arts & Culture,com.google.android.apps.cultural,教育,"10,000,000+"
Google Chat,com.google.android.apps.dynamite,ビジネス,"10,000,000+"
Google Classroom,com.google.android.apps.classroom,教育,"100,000,000+"
Google Cloud,com.google.android.apps.cloudconsole,ツール,"1,000,000+"
Google Earth,com.google.earth,旅行＆地域,"100,000,000+"
Google Fit: アクティビティ記録,com.google.android.apps.fitness,健康＆フィットネス,"100,000,000+"
Google Home,com.google.android.apps.chromecast.app,ライフスタイル,"100,000,000+"
Google Keep - メモとリスト,com.google.android.keep,仕事効率化,"1,000,000,000+"
Google Maps Go,com.google.android.apps.mapslite,旅行＆地域,"500,000,000+"
Google One,com.google.android.apps.subscriptions.red,仕事効率化,"1,000,000,000+"
Google Play ブックス: 漫画・電子書籍・ラノベ,com.google.android.apps.books,書籍＆参考書,"1,000,000,000+"
Google Podcasts,com.google.android.apps.podcasts,音楽＆オーディオ,"500,000,000+"
Google TV,com.google.android.videos,動画プレーヤー＆エディタ,"5,000,000,000+"
Google ToDo リスト,com.google.android.apps.tasks,仕事効率化,"10,000,000+"
Google VR サービス,com.google.vr.vrcore,ツール,"100,000,000+"
Google のメッセージ アプリ,com.google.android.apps.messaging,通信,"1,000,000,000+"
Google アナリティクス,com.google.android.apps.giant,ビジネス,"5,000,000+"
Google アンケート モニター,com.google.android.apps.paidtasks,ツール,"50,000,000+"
Google ウォレット,com.google.android.apps.walletnfcrel,ファイナンス,"500,000,000+"
Google ドキュメント,com.google.android.apps.docs.editors.docs,仕事効率化,"1,000,000,000+"
Google ドライブ,com.google.android.apps.docs,仕事効率化,"5,000,000,000+"
